"text","hashtags","sentiment","sentiment_label"
"darling contributes lakhs total contribution cr fight aganist ","Prabhas CCC CoronaCrisisCharity Prabhas","0","neutral"
"earth sure n t done airports coronavirus came quarantine centres ","","0.5","positive"
"bye bye corona sincerely pm","","0.5","positive"
"australia fast tracked bcg vaccination trial covid germany going try boosted bcg variant urease c gene replaced listeriolysin gene listeria monocytogenes cc","","0","neutral"
"literally thats evil wicked lady wicked corona","","-1","negative"
"corona virus doesnt scare fact world literally coming hault bc kind frightening","","0.04999999999999999","neutral"
"financially otherwise going feel wrath corona virus rich middle class poor going feel","","0.125","neutral"
"delayed elixir poisoning care full fail break chain corona win corona win die stalin movie pic","CanWeBreakTheChain","0.21666666666666667","positive"
"crime passport holders paid ration card holders class divide times via","Corona","0","neutral"
"corona gw celebration tiny celebration ","","-0.125","neutral"
"conditions arised becuase myopic vision mis governance bihar cm ","NitishMustQuit","0","neutral"
"mot fighting corona fighting poor labour class people ashamed ","","-0.4","negative"
"seasonal flu deaths year corona date keep perspective keep calm keep distracted ","","0.30000000000000004","positive"
" rampur guy calls corona helpline asks samosas repeatedly despite warnings doesnt stop arre samosa bhejo bhai rampur dm gets samosas delivered guy also orders clean drain punishment cc ","","0","neutral"
"spraying migrant labourers disinfectants animals spray disinfectant passengers airlifted various countries fucking morality","","0","neutral"
"today whole world accepted staying quarantine way safeguard corona virus virus proved fatal old aged people need time bcoz years old","","0.1","neutral"
"anyone looking non corona reading heres quick article wrote development iraqi political system post drawing research ","","0.16666666666666666","positive"
"exacerbation corona crisis reinforces link gold equities","","0","neutral"
"young rebel star contributes lakhs total contribution cr fight aganist ","Prabhas CCC CoronaCrisisCharity Prabhas","0.05","neutral"
"europe amp north america theories china dominating asia post corona era begun","","0","neutral"
"overnight people summonsed offences relating new corona virus legislation protect public included drive due boredom returning parties multiple people household going shops non essential items","","0.06818181818181818","neutral"
"young rebel star contributes lakhs total contribution cr fight aganist ","Prabhas CCC CoronaCrisisCharity Prabhas","0.05","neutral"
"bet anti vaxxers real quiet corona vaccine comes","","0","neutral"
"bet anti vaxxers real quiet corona vaccine comes","","0","neutral"
"young rebel star contributes lakhs total contribution cr fight aganist ","Prabhas CCC CoronaCrisisCharity Prabhas","0.05","neutral"
"barbaric amid chinese virus outbreak hindus denied food supplies karachi pakistan food basic thing survive action pak eliminate minorities corona pandemic allah watching","","0","neutral"
"must unavoidably make contact human objects make sure sterilize palm fingers hands immediately contact even touching phones pocket opening doors keys clothes u safe corona virus ","","0.375","positive"
"rich people brought virus india territory amp n t even quarantined govt n t want inconvenience poor singled suffer modi half smart vicious d stopped bad optics ","","0.375","positive"
"corona virus hysteria charts puts perspective amp lets decide ","","0","neutral"
"cows get respect concern india modi yogi government kiiling migrant laborers chemical solution ","Corona","0.5","positive"
"govt many states decided release thousands prisoners parole reduce congestion jails view corona menace elderly people prone infections demand sant shri asaramji bapu","","0.5","positive"
"got ta tell kids ended corona virus","JohnnysWorldHappyLIVEwithYou","0","neutral"
"let s agree first network embrace data cut price would preferred network corona ish ","","0.25","positive"
"pakistan patient recovers corona virus gave party people gain mild symptoms tested positive ","جومحدود_وہ_محفوظ","0.1202020202020202","neutral"
" year old woman died complications jerusalems shaare zedek medical center seriously ill six days s th corona related death may memory blessing ","BREAKING coronavirus","-0.05","neutral"
"happy ikorodu finest lawmaker god s grace upon life sir ","","0.65","positive"
"dear ji amp ji corona situation control let s create massive small scale industries amp bihar reduce india s dependence china amp reduce states dependence states owe bottom pyramid workforce ","","-0.125","neutral"
"young rebel star contributes lakhs total contribution cr fight aganist information visit","Prabhas CCC CoronaCrisisCharity Prabhas","0.05","neutral"
"corona attacks mostly old pple due weak immune system govt ordered release prisoners parole yrs innocent sant shri asharamji bapu jail mandir still govt silent him we want justice","ReleaseAsharamjiBapuOnParole","0.5","positive"
"brother filled data deserving daily wages labor proforma u mentioned earliest post please look verify really poor deserving corona crisses thanks","","0.27142857142857146","positive"
"mann ki baat ashok kapoor agra shares overcame covid menace","","0","neutral"
"corona mosquito sanjay jha belly dancer ","","0","neutral"
"china exporting faulty thermometers amp masks wasnt enough man rubbing new masks feet pass possibility infection target countries still sure dont want call ","","0.06818181818181818","neutral"
" provide economic relief nigerians even n k each actor yul edochie tells president buhari","Coronavirus","0.2","positive"
"people experiencing domestic violence mandatory lockdowns curb spread covid trapped homes abusers isolated people resources could help","","-0.1","neutral"
"imagine corona spread fast around world example damn","ChineseBioterrorism 2019nCoV WHO","0.35","positive"
"bye bye corona sincerely pm","","0.5","positive"
"delighted represent meeting leaders influencers via zoom pro israel advocacy wake discussion included challenges facing mda fight ","Ireland Covid_19 Covid_19 Israel","0.7","positive"
"already stated corona outbreak fatal people years judiciary considering health issue sant shri asharamji bapu jailed fabricated case ","","0","neutral"
"put differently rich wealthy lebanon tragic times amp faltering economy move amp least spend money constituencies move could ever provoke humanity ","Corona Covid_19","0.03125","neutral"
"david n t summit cv god mentioned samuel may lord single greatness season corona amen ","","-0.07142857142857142","neutral"
"sant shri asharamji bapu worked welfare society years age years need early release account pandemic corona virus spread india ","","0.25","positive"
"im recovering corona currently loss taste smell id experienced symptoms","","0.225","positive"
"bet anti vaxxers real quiet corona vaccine comes","","0","neutral"
"china exporting faulty thermometers amp masks wasnt enough man rubbing new masks feet pass possibility infection target countries still sure dont want call ","","0.06818181818181818","neutral"
"dems ready face fall nap political peril ","","0.26666666666666666","positive"
"_lintel morning ann see learning amp sharing time corona possibilities student vids blogs zoom teams agree twitter would work support see examples","CoReadingVirus CovidCeilidh","0","neutral"
"video conferencing corona arrange adequate quantity ventilators test kit cm","","0.3333333333333333","positive"
"seems like worst ","","-1","negative"
"dear crush im coming ive survived ebola amp corona think rejection id fear forever","","0","neutral"
"corona got kids exposing everything huh","","-0.125","neutral"
"corona took ur jobs yall worried mexicans","","0","neutral"
"spraying migrant labourers disinfectants animals spray disinfectant passengers airlifted various countries fucking morality","","0","neutral"
"young rebel star contributes lakhs total contribution cr fight aganist ","Prabhas CCC CoronaCrisisCharity Prabhas","0.05","neutral"
"wonder many corona cases coincide sealed indictments ","","0.5","positive"
"panchyat sachiv candidate also stand corona epedemic","jsscपंचायत_सचिव_अभ्यर्थी_CM_राहतकोष","0","neutral"
"_aurora_ well done south africa majority wasting votes anc eff still believe jan van riebeeck apartheid white monopoly capital helen zille fw de klerk whites stole land blame corona virus","","0","neutral"
"patients crossed digits now corona infected people india ","IndiaFightsCorona","0","neutral"
"worst corona upon us","","-1","negative"
"dont mind atheists cant see brain believe exists ","","0","neutral"
" appeal fight together ","StayAtHomeAndStaySafe Corona TN_Together_Against_Corona","0","neutral"
"cartoon applicable every nation patriots struggling save nation chinese virus nation breakers within struggling make things worse corona virus covid chinese virus boycott communist china isolate communist china","","-0.13333333333333333","neutral"
"bye bye corona sincerely pm","","0.5","positive"
"everyone needlessly gets overly animated real threat eu manifesting limited enough scrutiny comparison","Coronabonds","-0.09285714285714286","neutral"
"love time corona based actual sexts message funniest sweetest craziest lockdown sexts ll draw best one anonymity guaranteed screenshots pls know s real consensual stuff might edit artistic purposes ","","0.25","positive"
"corona stuff going find health care workers show appreciation xx","","0","neutral"
"countries lower new corona cases ones recording outrageous numbers right china hand new cases","","-0.12775974025974027","neutral"
"thanks corona know following places good lunch goes bob viongozi ni waoga wa kawaida ni midomo kubwa tu wanakuanga nayo caged fearing die usa na europe also vulnerable kama wengine preacher heal one ","","0.3","positive"
"world power ","","0","neutral"
"young rebel star contributes lakhs total contribution cr fight aganist ","Prabhas CCC CoronaCrisisCharity Prabhas","0.05","neutral"
" kill coronavirus infection may may disinfect skin washing hands soap demeaning humans public health devoid ethics ","","0","neutral"
"corona virus end","SBWL","0","neutral"
"spoke doctors tumakuru cnagar belagavi karwar look positive looking spread virus say corona less virulent india true definitely saved ","","0.22727272727272727","positive"
"thank god mercy endureth forever","","0","neutral"
"young rebel star contributes lakhs total contribution cr fight aganist ","Prabhas CCC CoronaCrisisCharity Prabhas","0.05","neutral"
"spraying migrant labourers disinfectants animals spray disinfectant passengers airlifted various countries fucking morality","","0","neutral"
"spraying migrant labourers disinfectants animals spray disinfectant passengers airlifted various countries fucking morality","","0","neutral"
"sir plz go medicine journal u get know actual facts corona stop criticizing china nice day","","0.3","positive"
"hold beer","","0","neutral"
"listen treatment incurable diseases satsang metaphysical saint saint rampal ji maharaj could finish corona root information must watch sadhana tv p m ","Benefits_Of_Satsang","-0.25","negative"
"area right looks like estate ooo area paa kw corona brought things laa oo pray goes sooner ","","0.4464285714285714","positive"
"havent heard mps allocating mp lads controlling corona starting amp sonia gandhi contribution ","PMCaresFunds","0","neutral"
"_jua toyota corona se v chinese full option goes much ","","0.18333333333333335","positive"
"world best medevac covid patient germany activates flying icu plane airbus medevac fly corona patients italy hospitals germany plane capacity beds high intensive care patients medical staff ","","0.9","positive"
"rt promo gc gain mutuals reply like giveaway au loona fancam psycho bp bts gain blackpink baby furry nsfw boyfriend au itzy stan loona daddy porn bighit follow trick fluff angst mommy daddy nct exo txt corona uk fb win gay jojo siwa bf","kpop","0.37222222222222223","positive"
"facts overlooked sant shri asharamji bapu case call details girl speaking someone time said incident fir register torn fax yog vedant sewa samiti demanding ransom amount amidst corona fear want","","0","neutral"
"bet anti vaxxers real quiet corona vaccine comes","","0","neutral"
"dear crush im coming ive survived ebola amp corona think rejection id fear forever","","0","neutral"
"bye bye corona sincerely pm","","0.5","positive"
"bye bye corona sincerely pm","","0.5","positive"
"shekhar gupta s theprint claims govt may extend lockdown prasar bharati terms fake news","","-0.5","negative"
"one corona binges smash m season two gets worse episode fun hey s ephraim sykes seth rudetsky kinda way thanks hilarious recaps vulture finish show oh yes finished ","","0.16875","positive"
"corona took ur jobs yall worried mexicans","","0","neutral"
"renard sends message football fans corona","","0","neutral"
"special service house hold members insist heading world fights corona ","keepingitlite","0.44642857142857145","positive"
"_doctor sharing people see i mild asthma attack last night could n t breath well first time brother sister asthibut me i scared mind already going coronai already crying i n t cough headache","","0.16666666666666666","positive"
"u mean japan lmfaooo","","-0.3125","negative"
"top response team left never replaced trump said democrats criticism administrations handling corona virus would next hoax ","","0.16666666666666666","positive"
"khan handsome also next level genius knowing fact animals immune coronavirus sets volunteer force name corona relief tigers asks youth ias register oh khan ","","0.16666666666666666","positive"
"young rebel star contributes lakhs total contribution cr fight actor big heart true pan indian star prabhas","Prabhas CoronaCrisisCharity Prabhas","0.05","neutral"
"china announces recovery people infected virus corona","","0","neutral"
"proof need know establishment india s anti modern anti science establishment ","","0.39999999999999997","positive"
"facts overlooked sant shri asharamji bapu case call details girl speaking someone time said incident fir register torn fax yog vedant sewa samiti demanding ransom amount amidst corona fear want","","0","neutral"
"dear god abeg make win giveaway na","","0.8","positive"
"bye bye corona sincerely pm","","0.5","positive"
"really hits home family member contracts corona virus happening everyone dont think wont happen stay home","","0.25","positive"
"corona virus covered entire world time caution cure stay home family remain safe","","0","neutral"
"r u trying kill corona humans migrant labourers families forced take bath chemical solution upon entry bareilly ","","-0.30000000000000004","negative"
"pandemic corona virus spreading india risk old people govt must release yr old sant shree asaram bapu ji parole people india demanding","","0.13333333333333333","neutral"
"corona epidemic hurts years age bapuji years old despite instructions supreme court government sant shri asharamji bapu yet released ","","0","neutral"
"bye bye corona sincerely pm","","0.5","positive"
"corona exposing everything weak public infrastructure poor leadership selfishness people stupid religious leaders systemic poverty everyones underwear outside ","","-0.315","negative"
"contributes lakhs totally donated cr fight","Prabhas CCC CoronaCrisisCharity Corona","0","neutral"
"hollywood may make movie americans single handedly put end pandemic ","COVID19 Corona hollywood pandemic moviesuggestions","-0.07142857142857142","neutral"
"crore families means approx crore people s population india ","","0.5","positive"
"look vedio people avoid spread","","0","neutral"
"china exporting faulty thermometers amp masks wasnt enough man rubbing new masks feet pass possibility infection target countries still sure dont want call ","","0.06818181818181818","neutral"
"birth painful process new life odd way look corona time ","","-0.24343434343434342","negative"
"young rebel star contributes lakhs total contribution cr fight aganist ","Prabhas CCC CoronaCrisisCharity Prabhas","0.05","neutral"
"novel prevention cleaning partner provide sterilize cleaning solutions cleaning visit ","IndiafightsCorona Corona Virus Covid AstolCleantech SteamCleaners","0","neutral"
"spent trillion saving economy corona virus theres money tests smh","","-0.1","neutral"
"young rebel star contributes lakhs total contribution cr fight actor big heart true pan indian star prabhas","Prabhas CoronaCrisisCharity Prabhas","0.05","neutral"
" kill coronavirus infection may may disinfect skin washing hands soap demeaning humans public health devoid ethics ","","0","neutral"
"full time artists people entertainment industry earn income march april corona outbreak care share want understand write twitter piece ","","0.35","positive"
"man like smart","","0.21428571428571427","positive"
"eve trump producer texted we media blood hands treated like criminal n t amp like legit candidate n t s happening w corona wh pressers re legit blood wo n t wash ","","-0.4","negative"
"tune two funniest sports presenters best sports entertainment hbd corona day r g g kussh","","1","positive"
"humble request india never fight us pls pls pls put ur power education need reseach day corona world racing fight provide diagnostic kits r push baking disease providing health equipment","","-0.2","negative"
"r u trying kill corona humans migrant labourers families forced take bath chemical solution upon entry bareilly ","","-0.30000000000000004","negative"
"_doctor instructed called doctor explained told get drugs come hospital i went found s corona explained things point n t think much ","","-0.125","neutral"
"satsangs true satguru tell us god eradicates even worst diseases even epidemic like corona ","Benefits_Of_Satsang","-0.325","negative"
"young rebel star contributes lakhs total contribution cr fight aganist ","Prabhas CCC CoronaCrisisCharity Prabhas","0.05","neutral"
" italian doctor break plays piano hospital also facebook ","","0","neutral"
"days beginning large scale double blinded trial france reached conclusion recommended treat many countries around world offering patients uk ","chloroquine","0.10714285714285714","neutral"
"bye bye corona sincerely pm","","0.5","positive"
"_in s inx deal enough time plan amp prepare carry deal s corona quick decisions required taken","","0.16666666666666666","positive"
"low iq media resorting sensationalism create panic chemical solution disinfectant spray measure used widely across world prevent reduce imported cases hope takes action journalist ","","0","neutral"
" rampur guy calls corona helpline asks samosas repeatedly despite warnings doesnt stop arre samosa bhejo bhai rampur dm gets samosas delivered guy also orders clean drain punishment cc ","","0","neutral"
"china exporting faulty thermometers amp masks wasnt enough man rubbing new masks feet pass possibility infection target countries still sure dont want call ","","0.06818181818181818","neutral"
"gaza got two pakistanis travelled egypt thought prison ","Corona","0","neutral"
"_ibile pls anybody assist k even k least buy foodstuff home corona period pls dont let hunger finish pls dont mind amount sef even buy cup garri pls retweet well dm open pls","","-0.15","neutral"
"darling real king st indian star donates big amount cr pm telugu states cm relief fund young rebel star contributes lakhs prabhas total contribution cr fight","Prabhas CCC CoronaCrisisCharity coronavirus","0.07500000000000001","neutral"
"elderly people vulnerable corona many jails decided release prisoners amidst outbreak sant shri asaram bapu ji enough evidences prove framed fake case conspiracy ","","0.16666666666666666","positive"
"definitely current time need need better leadership ","NitishMustQuit","0.16666666666666666","positive"
"spraying migrant labourers disinfectants animals spray disinfectant passengers airlifted various countries fucking morality","","0","neutral"
"males tweet right corona ","","0.3571428571428571","positive"
"corona virus claimed many lives god kept u n ur family alive tell god something","","0.3","positive"
" rampur guy calls corona helpline asks samosas repeatedly despite warnings doesnt stop arre samosa bhejo bhai rampur dm gets samosas delivered guy also orders clean drain punishment cc ","","0","neutral"
"_khaan corona ","","0","neutral"
"bye bye corona sincerely pm","","0.5","positive"
"chuck todd asked biden trump blood hands corona response anyone blood hands msm years constant lies created atmosphere one trusts media people dying public n t know trust ","","0","neutral"
"doesnt want catch corona im already sick seeing ","","-0.7142857142857143","negative"
"proven corona virus show effect generally age group people gov t give parole year s innocent sant shri asaramji bapu imprisoned past year without proof ","","0.5","positive"
"worst corona upon us","","-1","negative"
"young rebel star contributes lakhs total contribution cr fight aganist ","Prabhas CCC CoronaCrisisCharity Prabhas","0.05","neutral"
"trump commending west virginia cases corona virus whole time cases way testing care people story behind west virginia s no coronavirus statistic","","0.2","positive"
"per smt s directions created new handle provide direct route customers complaints queries concerns banking insurance related issues regard corona virus related relief measures ","","0.11818181818181818","neutral"
"boyfriend sent corona virus money s telling avoid crowds ","","0","neutral"
"result accessive news corona pandemic causing psychological stress unnecessarily media also air informative motivational amp entertainment contents people shut news channels","","-0.2","negative"
"carti stop corona","","0","neutral"
"party spread corona virus eat disgusting food unhealthy ","","-0.75","negative"
"fuck bags like n t care corona corona s illegal braai road truly makes one gatvol people think law especially white fat cats like reason sa ","","-0.205","negative"
" social distancing advice re hearing right n t simple behind bars crowding issues ventilation issues security issues especially senior citizens higher risk getting infected ","ReleaseAsharamjiBapuOnParole","0.028174603174603168","neutral"
"buhari approved amotekun corona amotekun end","","0","neutral"
"everyone need bit hope grandad arriving back home beating corona virus done like true trooper nice back","","0","neutral"
"sir good announcement many state government decided release prisoners seeing terrible disease like corona release sant shri asharamji bapu parole ","","0.705","positive"
"corona singers","","0","neutral"
"funniest internet corona temple run","","0","neutral"
"indian government decided anyone already prison years released seeing corona virus sant shree asharamji bapu released ","ReleaseAsharamjiBapuOnParole","0","neutral"
"young rebel star contributes lakhs towards tfi s help poor film workers grand total contribution towards relief efforts cr hatsoff ","Prabhas CCC CoronaCrisisCharity","-0.15000000000000002","negative"
"n t go outside corona stay home","","0","neutral"
"treat innocent citizens like slaves animals people pay tax keep ","","0.5","positive"
"dear crush im coming ive survived ebola amp corona think rejection id fear forever","","0","neutral"
" ashok kapoor agra shares overcame covid menace via namo app","MannKiBaat","0","neutral"
"fuck rapists fuck racism fuck corona fuck coleslaw ","","-0.4","negative"
"darling contributes lakhs total contribution cr fight aganist ","Prabhas CCC CoronaCrisisCharity Prabhas","0","neutral"
"r u trying kill corona humans migrant labourers families forced take bath chemical solution upon entry bareilly ","","-0.30000000000000004","negative"
"reminder global pandemic meanwhile germany elected mp spd lighting old shirt disagrees behavior withhold rent paymentwhich incentivized laws passed spd coalition government beyond madness ","","0.05","neutral"
"ben shapiro interviews v p mike pence amp dr deborah birx amp gets latest corona virus additional information watch rudy giuliani s podcasts go twitter page ","","0.5","positive"
"memes true ","Memes corona coronavirusmemes","0.4375","positive"
"whole world falling apart due epidemic disease corona specially higher risk age still unfortunately elderly sant shri asharamji bapu yrs prison n also bogus case ","","0.10833333333333334","neutral"
"young rebel star contributes lakhs total contribution cr fight aganist ","Prabhas CCC CoronaCrisisCharity Prabhas","0.05","neutral"
"stray bullet allegedly fired men nigeria customs service ogun state command pursuing rice smugglers killed pupil good see things dont change corona corona","","-0.1","neutral"
"china exporting faulty thermometers amp masks wasnt enough man rubbing new masks feet pass possibility infection target countries still sure dont want call ","","0.06818181818181818","neutral"
"corona virus existence since form sars lately mers however covid new one currently dealing still corona mention corona movie doesnt mean anything research","","-0.3","negative"
"tana mongeau gave corona honestly wouldnt mad","","-0.012500000000000011","neutral"
"kyrgyzstan active cases corona recovery plzz help us let us steps taken regarding us stucked parents really worried ","zero","-0.13333333333333333","neutral"
" s corona patrol police continue shame thousands people allegedly flouting lockdown rules including twitter warning neil kinnock s mp son via","","-0.1","neutral"
"bye bye corona sincerely pm","","0.5","positive"
" tested samples negative amp i e positive words even showing symptoms amp getting tested positive time stay indoors amp practice distancing shall pass ","Uttarakhand","-0.0659090909090909","neutral"
"hundreds billions dollars injected us businesses counter effects corona money came taxation americans paying pocket comes federal reserve nations paying ","","0","neutral"
"corona virus financial war","","0","neutral"
"hope took corona virus him ","","0","neutral"
"india corona updates confirmed active recovered deceased ","StayHomeStaySafe","0.13333333333333336","neutral"
"ok going crazy police defense force give rights away abuse us keep us safe corona ","","-0.04999999999999999","neutral"
"r u trying kill corona humans migrant labourers families forced take bath chemical solution upon entry bareilly ","","-0.30000000000000004","negative"
"slips showing everywhere","","0","neutral"
"us coronavirus cases reported death rate corona only corona plus compromising ailment unemployed million prospect gainful reemployment impactful ","","-0.125","neutral"
"done airports may watching making increasingly leftist","","-0.05","neutral"
"spraying migrant labourers disinfectants animals spray disinfectant passengers airlifted various countries fucking morality","","0","neutral"
"kya baat legends becoming ultra legends thank u","FightAgainstCOVID19","0.45","positive"
"day garri go finish poor man house corona go know say nobody de fear make de continue dey brag shaa ","","-0.4","negative"
"boyfriend sent corona virus money s telling avoid crowds ","","0","neutral"
"friend cancelled wedding corona amazing whole thing hard call caterers people week really hope small businesses like keep going ","","0.06180555555555556","neutral"
"_badgujar already stated corona outbreak fatal people years judiciary considering health issue sant shri asharamji bapu jailed fabricated case ","","0","neutral"
"must die corona","","0","neutral"
"special service house hold members insist heading world fights corona ","keepingitlite","0.44642857142857145","positive"
"gi toc news organized crime time corona the mafia like coronavirus get wherever gi toc network member ","","0","neutral"
"vvvv much proud great moment religions came together corona proud muslims hindu rituals grim situation proud young muslim making indians feel unity diversity ","","0.2994140625","positive"
"china suffer consequences corona comes control threat america ","","0","neutral"
"happy doctor s day doctor babu ","","1","positive"
"eve trump producer texted we media blood hands treated like criminal n t amp like legit candidate n t s happening w corona wh pressers re legit blood wo n t wash ","","-0.4","negative"
"bye bye corona sincerely pm","","0.5","positive"
"bye bye corona sincerely pm","","0.5","positive"
" holyshit m tired corona take life walls upload vienneta de fak need survive shit ","","-0.30000000000000004","negative"
" rampur guy calls corona helpline asks samosas repeatedly despite warnings doesnt stop arre samosa bhejo bhai rampur dm gets samosas delivered guy also orders clean drain punishment cc ","","0","neutral"
"veteran eden gardens groundsman maheshwar shaw contributes rs corona relief fund significant considering earned major part life","","0.1875","positive"
"first name corona last name virus nickname covid age nationality china next kin hanta virus relative ebola hobby traveling spreading favorite food lungs kidneys favorite country italy dislikes alcohol","","0.0625","neutral"
"demand corona virus increasing dangerously people yrs affected most also innocent trapped consiracy stopping forceful secular conversions hindus ","ReleaseAsharamjiBapuOnParole","-0.6","negative"
"facts overlooked sant shri asharamji bapu case call details girl speaking someone time said incident fir register torn fax yog vedant sewa samiti demanding ransom amount amidst corona fear want","","0","neutral"
"donate need help due corona virus get nudes exchange","","-0.125","neutral"
"mass testing program ordered government could potentially create new tier corona immune brits allowed return work rest continue shelter home wont encourage healthier folk seek virus ","","0.06818181818181818","neutral"
"r u trying kill corona humans migrant labourers families forced take bath chemical solution upon entry bareilly ","","-0.30000000000000004","negative"
"young rebel star donates lakhs total crs","Prabhas CCC corona","0.05","neutral"
"delhi govt streamlines medical facilities medical teams quarantine facilities hospitals run shifts shift pm shift pm shift days followed days break docs nurses provided accommodation","Corona","0","neutral"
"bitch ask jimin corona gon na fight","","0","neutral"
"right cue first coronavirus racism experience going walk bloke yells hard stay away lot taking feel like ive baptised post corona australia ","","0.10218253968253967","neutral"
"start using migrated labour","","0","neutral"
"help fight answering survey gathering info assist government save lives survey anonymous takes less min ","COVID19 SocialDistancing UK","0","neutral"
"dear ji amp ji corona situation control let s create massive small scale industries amp bihar reduce india s dependence china amp reduce states dependence states owe bottom pyramid workforce ","","-0.125","neutral"
"id die vlexin shirts ugh screw corona virus glad able get shirts atleast","","0.5","positive"
" ashok kapoor agra shares overcame covid menace via namo app","MannKiBaat","0","neutral"
"bjp accused pt nehru pushing army soldiers without warm cloths amp proper ammunition fight chinese army asked forced doctors nurses paramedical staff fight without providing self protection gears ","","0.19999999999999998","positive"
"young rebel star contributes lakhs total contribution cr fight aganist ","Prabhas CCC CoronaCrisisCharity Prabhas","0.05","neutral"
"corona virus definitely showing whos selfish actually cares people","","-0.15625","negative"
"infant diagnosed w corona virus orange county taking virus seriously stay fuck away child ","","-0.3666666666666667","negative"
"dear chairman sahab plz help bihari people stuck corona lockdown hungry last three days contact jawed ","","0","neutral"
"china exporting faulty thermometers amp masks wasnt enough man rubbing new masks feet pass possibility infection target countries still sure dont want call ","","0.06818181818181818","neutral"
"inhumanity criminal ","","-0.4","negative"
"corona took ur jobs yall worried mexicans","","0","neutral"
"human rights violations threat unacceptable ","CoronaVirus HumanRights","0","neutral"
"corona spreading rapidly even innocent sant shri asharamji bapu tolerated jail approx yrs ","ReleaseAsharamjiBapuOnParole","0.5","positive"
" s true protect life prisoners senior citizen nirdosh sant shri asaramji bapu jail also granted bail prevailing situation covid corona virus pandemic ","","0.35","positive"
"contributes lakhs total contribution cr fight aganist ","Prabhas CCC CoronaCrisisCharity Prabhas","0","neutral"
"work pizza ready migrate servers aws azure vmware free pizza offer ends eod ","","0.30000000000000004","positive"
"making memes corona deep inside condition","","0","neutral"
"may almighty allah protect us ameen","","0","neutral"
"young rebel star contributes lakhs total contribution cr fight aganist","CCC CoronaCrisisCharity Prabhas","0.05","neutral"
"zee hindustan news channel showed whole story mirchi perfomance hayeeee india hi chiz chal rahi corona aur ","SidNaaz SidNaaz","0.2","positive"
"enjoy week corona norway song quarantine tix ","koronanorge visitnorway norwegianmusic","0.4","positive"
"seems eu migration vital u k economy would thought coronavirus lockdown asparagus crop left rot unfit britons refuse replace foreign pickers news sunday times","brexit coronavirus","0.1","neutral"
" social distancing advice re hearing right n t simple behind bars crowding issues ventilation issues security issues especially senior citizens higher risk getting infected ","ReleaseAsharamjiBapuOnParole","0.028174603174603168","neutral"
"mike well m mike call every beastie boy mona mike stayin home avoid every beastie boy corona ad rock quarantine still dress every beastie boy best mca washing hands like lady every beastie boy macbeth ","","0","neutral"
" whole world need peace know sant shri asharamji bapu provide real peace effective solution corona virus satsang ","ReleaseAsharamjiBapuOnParole","0.2","positive"
"yet another police force over extending supermarkets asked one adult per household goes shopping thats perfectly reasonable not legislation governments official advice police giving another imaginary power ","","0.05","neutral"
"good day s longer secret amp cohorts making plans ganging innocent sincere lovers point stand managements amp hereby debunks form accusations laid ","","0.32499999999999996","positive"
"new cases found positive mid day today tamil nadu maharashtra madhya pradesh gujarat j amp k andhra rajasthan punjab andaman amp nicobar","Corona","0.12121212121212122","neutral"
" social distancing advice re hearing right n t simple behind bars crowding issues ventilation issues security issues especially senior citizens higher risk getting infected ","","0","neutral"
"bet anti vaxxers real quiet corona vaccine comes","","0","neutral"
"yes sir pandemic corona virus spreading india risk old people govt must release yr old sant shree asaram bapu ji parole people india demanding","","0.15000000000000002","positive"
